file,total_issues,empty_labels,nonempty_labels,percent_with_labels,unique_labels,top_labels
1Panel-dev_MaxKB_labeled_issues.json,500,0,500,100.0,11,"[('Status: Completed', 235), ('Type: Feature Request', 169), ('Type: Bug', 153), ('Status: Awaiting Feedback', 85), ('Type: Optimization', 61)]"
entropy-research_Devon_labeled_issues.json,29,0,29,100.0,8,"[('✨ enhancement', 13), ('🪲 bug', 7), ('🕹️ issue: agent', 7), ('💬 discussion', 4), ('👋 good first issue', 3)]"
Kav-K_GPTDiscord_labeled_issues.json,179,0,179,100.0,12,"[('bug', 112), ('help wanted', 76), ('good first issue', 63), ('enhancement', 57), ('high-prio', 37)]"
deepset-ai_haystack_labeled_issues.json,500,0,500,100.0,36,"[('P1', 186), ('P2', 155), ('P3', 94), ('type:documentation', 63), ('type:feature', 45)]"
AstrBotDevs_AstrBot_labeled_issues.json,500,0,500,100.0,9,"[('bug', 210), ('plugin-publish', 167), ('enhancement', 123), ('open-for-contribution', 7), ('gewechat', 5)]"
dot-agent_nextpy_labeled_issues.json,12,0,12,100.0,6,"[('enhancement', 8), ('help wanted', 3), ('good first issue', 2), ('documentation', 2), ('AI Code Gen', 2)]"
letta-ai_letta_labeled_issues.json,85,0,85,100.0,6,"[('stale', 81), ('auto-closed', 3), ('feature request', 2), ('bug', 1), ('roadmap', 1)]"
openlit_openlit_labeled_issues.json,223,0,223,100.0,17,"[(':rocket: Feature', 158), (':raised_hand: Up for Grabs', 143), (':bug: Bug', 64), ('openlit-python', 59), ('Integration', 34)]"
hyperonym_basaran_labeled_issues.json,57,0,57,100.0,9,"[('question', 24), ('enhancement', 18), ('bug', 7), ('wontfix', 3), ('duplicate', 3)]"
IntelligenzaArtificiale_Free-Auto-GPT_labeled_issues.json,10,0,10,100.0,5,"[('enhancement', 5), ('help wanted', 4), ('bug', 3), ('question', 1), ('duplicate', 1)]"
search_results.json,887,887,0,0.0,0,"[]"
Open-LLM-VTuber_Open-LLM-VTuber_labeled_issues.json,60,0,60,100.0,11,"[('open for contribution', 24), ('question', 15), ('good first issue', 10), ('in progress', 9), ('tts', 8)]"
BerriAI_litellm_labeled_issues.json,500,0,500,100.0,25,"[('bug', 365), ('stale', 160), ('enhancement', 101), ('mlops user request', 88), ('awaiting: user response', 15)]"
kyegomez_swarms_labeled_issues.json,258,0,258,100.0,13,"[('bug', 249), ('no-issue-activity', 9), ('automated', 6), ('severity:medium', 6), ('priority:high', 6)]"
av_harbor_labeled_issues.json,121,0,121,100.0,14,"[('bug', 39), ('question', 29), ('new service', 29), ('enhancement', 23), ('documentation', 19)]"
lss233_kirara-ai_labeled_issues.json,500,0,500,100.0,15,"[('stale', 326), ('bug', 301), ('功能/建议', 176), ('需要帮助/人力不足', 7), ('type-check', 7)]"
Kiln-AI_Kiln_labeled_issues.json,63,0,63,100.0,4,"[('enhancement', 39), ('bug', 24), ('help wanted', 6), ('good first issue', 3)]"
FoundationAgents_MetaGPT_labeled_issues.json,212,0,212,100.0,10,"[('inactive', 179), ('enhancement', 16), ('bug', 15), ('documentation', 6), ('todo', 2)]"
GaiZhenbiao_ChuanhuChatGPT_labeled_issues.json,500,0,500,100.0,20,"[('question', 185), ('feature request', 179), ('bug', 118), ('localhost deployment', 58), ('docker deployment', 30)]"
ggozad_oterm_labeled_issues.json,51,0,51,100.0,6,"[('enhancement', 23), ('bug', 20), ('good first issue', 7), ('help wanted', 5), ('question', 2)]"
VRSEN_agency-swarm_labeled_issues.json,44,0,44,100.0,5,"[('stale', 37), ('enhancement', 7), ('feedback', 6), ('bug', 3), ('question', 1)]"
Upsonic_Upsonic_labeled_issues.json,80,0,80,100.0,11,"[('bug', 53), ('improvement', 13), ('feature', 6), ('new_model', 6), ('help wanted', 5)]"
infiniflow_ragflow_labeled_issues.json,416,0,416,100.0,6,"[('🙋\u200d♀️ question', 221), ('🐞 bug', 215), ('💞 feature', 85), ('♾️infinity', 6), ('📖 documentation', 4)]"
bookfere_Ebook-Translator-Calibre-Plugin_labeled_issues.json,292,0,292,100.0,9,"[('wontfix', 104), ('enhancement', 101), ('bug', 72), ('duplicate', 30), ('question', 5)]"
hegelai_prompttools_labeled_issues.json,20,0,20,100.0,7,"[('enhancement', 12), ('help wanted', 10), ('good first issue', 5), ('model_providers', 3), ('playground', 2)]"
LlmKira_Openaibot_labeled_issues.json,184,0,184,100.0,21,"[('New Features', 76), ('Bug', 44), ('To be decided', 19), ('Need Help', 12), ('Documentation', 10)]"
superduper-io_superduper_labeled_issues.json,278,0,278,100.0,18,"[('📉 technical debt', 80), ('🚀 feature request', 62), ('📝 documentation', 45), ('Enhancement', 30), ('🔄 CI', 25)]"
camel-ai_camel_labeled_issues.json,500,0,500,100.0,37,"[('enhancement', 202), ('New Feature', 163), ('P0', 127), ('P1', 86), ('bug', 85)]"
NVIDIA_ChatRTX_labeled_issues.json,12,0,12,100.0,2,"[('question', 11), ('enhancement', 1)]"
Fosowl_agenticSeek_labeled_issues.json,43,0,43,100.0,14,"[('enhancement', 17), ('medium priority', 9), ('bug', 8), ('high priority', 7), ('windows', 4)]"
TransformerOptimus_SuperAGI_labeled_issues.json,108,0,108,100.0,14,"[('feature request', 27), ('enhancement', 23), ('bug', 21), ('discussion needed', 16), ('good first issue', 15)]"
Byaidu_PDFMathTranslate_labeled_issues.json,489,0,489,100.0,17,"[('bug', 264), ('enhancement', 211), ('help wanted', 39), ('Normal priority', 26), ('good first issue', 25)]"
Shubhamsaboo_awesome-llm-apps_labeled_issues.json,7,0,7,100.0,1,"[('bug', 7)]"
agno-agi_agno_labeled_issues.json,500,0,500,100.0,5,"[('bug', 318), ('enhancement', 150), ('stale', 98), ('question', 20), ('good first issue', 1)]"
QuivrHQ_quivr_labeled_issues.json,500,0,500,100.0,19,"[('Stale', 333), ('bug', 273), ('area: backend', 185), ('enhancement', 102), ('area: frontend', 88)]"
